2026-04-28 4:32:04 - PHP Notice:  Undefined index: config_name in /var/www/html/install/model/upgrade/1004.php on line 119
2026-04-28 4:33:36 - PHP Notice:  Undefined index:  in /var/www/html/catalog/controller/startup/startup.php on line 117
2026-04-28 4:33:36 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/startup/startup.php on line 117
2026-04-28 4:33:36 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /var/www/html/system/framework.php:42) in /var/www/html/catalog/controller/startup/startup.php on line 167
2026-04-28 4:33:36 - PHP Warning:  fopen(/var/www/html/system/storage/logs/): failed to open stream: Is a directory in /var/www/html/system/library/log.php on line 22
2026-04-28 4:42:17 - CustomerSegment: Module settings saved. Status: Enabled by user 1
2026-04-28 4:50:03 - CustomerSegment: New rule created: tet (ID: 1)
2026-04-28 4:50:09 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/admin/controller/extension/module/customer_segment.php on line 287
2026-04-28 4:50:09 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/admin/controller/extension/module/customer_segment.php on line 288
2026-04-28 4:50:11 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/admin/controller/extension/module/customer_segment.php on line 287
2026-04-28 4:50:11 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/admin/controller/extension/module/customer_segment.php on line 288
2026-04-28 5:19:55 - CustomerSegment: Rule updated: tet (ID: 1)
2026-04-29 22:13:45 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504425): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:46 - PHP Warning:  fopen(/var/www/html/system/storage/cache/cache.store.1777504426): failed to open stream: No such file or directory in /var/www/html/system/library/cache/file.php on line 28
2026-04-29 22:13:46 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 30
2026-04-29 22:13:46 - PHP Warning:  fread() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 34
2026-04-29 22:13:46 - PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 36
2026-04-29 22:13:46 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504426): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:46 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504426): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:46 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504426): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:46 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504426): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:46 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777504426 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777504426 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777504426 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777504426 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  fopen(/var/www/html/system/storage/cache/cache.store.1777504426): failed to open stream: No such file or directory in /var/www/html/system/library/cache/file.php on line 28
2026-04-29 22:13:46 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 30
2026-04-29 22:13:46 - PHP Warning:  fread() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:46 - PHP Warning:  flock() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 34
2026-04-29 22:13:46 - PHP Warning:  fclose() expects parameter 1 to be resource, bool given in /var/www/html/system/library/cache/file.php on line 36
2026-04-29 22:13:47 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777504427 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:47 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:47 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:47 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:47 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:47 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:47 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:47 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:48 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504427): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:48 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504428): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:48 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504428): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
2026-04-29 22:13:48 - PHP Warning:  filesize(): stat failed for /var/www/html/system/storage/cache/cache.store.1777504428 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:48 - PHP Warning:  fread(): Length parameter must be greater than 0 in /var/www/html/system/library/cache/file.php on line 32
2026-04-29 22:13:48 - PHP Warning:  unlink(/var/www/html/system/storage/cache/cache.store.1777504428): No such file or directory in /var/www/html/system/library/cache/file.php on line 68
